team1,team2,score1,score2,odd_team1,oddDraw,odd_team2,time,date
England,Australia,15,11,,,,,2 Jan 1982
Scotland,Australia,24,15,,,,,19  1981
Wales,Australia,18,13,,,,,5  1981
France,New Zealand,6,18,,,,,21 Nov 1981
Ireland,Australia,12,16,,,,,21 Nov 1981
France,New Zealand,9,13,,,,,14 Nov 1981
New Zealand,South Africa,25,22,,,,,12 Sep 1981
New Zealand,South Africa,12,24,,,,,29 Aou 1981
New Zealand,South Africa,14,9,,,,,15 Aou 1981
Australia,France,24,14,,,,,11 Jul 1981
Australia,France,17,15,,,,,5 Jul 1981
New Zealand,Scotland,40,15,,,,,20 Jui 1981
New Zealand,Scotland,11,4,,,,,13 Jui 1981
Argentina,England,6,12,,,,,6 Jui 1981
South Africa,Ireland,12,10,,,,,6 Jui 1981
Argentina,England,19,19,,,,,30 Mai 1981
South Africa,Ireland,23,15,,,,,30 Mai 1981
England,France,12,16,,,,,21 Mar 1981
Scotland,Ireland,10,9,,,,,21 Mar 1981
France,Wales,19,15,,,,,7 Mar 1981
Ireland,England,6,10,,,,,7 Mar 1981
England,Scotland,23,17,,,,,21 Fev 1981
Wales,Ireland,9,8,,,,,21 Fev 1981
Ireland,France,13,19,,,,,7 Fev 1981
Scotland,Wales,15,6,,,,,7 Fev 1981
Wales,England,21,19,,,,,17 Jan 1981
France,Scotland,16,9,,,,,17 Jan 1981
South Africa,France,37,15,,,,,8 Nov 1980
Wales,New Zealand,3,23,,,,,1 Nov 1980
Australia,New Zealand,26,10,,,,,12 Jul 1980
Australia,New Zealand,9,12,,,,,28 Jui 1980
Australia,New Zealand,13,9,,,,,21 Jui 1980
Scotland,England,18,30,,,,,15 Mar 1980
Ireland,Wales,21,7,,,,,15 Mar 1980
France,Ireland,19,18,,,,,1 Mar 1980
Wales,Scotland,17,6,,,,,1 Mar 1980
Scotland,France,22,14,,,,,16 Fev 1980
England,Wales,9,8,,,,,16 Fev 1980
France,England,13,17,,,,,2 Fev 1980
Ireland,Scotland,22,15,,,,,2 Fev 1980
England,Ireland,24,9,,,,,19 Jan 1980
Wales,France,18,9,,,,,19 Jan 1980
England,New Zealand,9,10,,,,,24 Nov 1979
Scotland,New Zealand,6,20,,,,,10 Nov 1979
Argentina,Australia,12,17,,,,,3 Nov 1979
Argentina,Australia,24,13,,,,,27 Oct 1979
Australia,New Zealand,12,6,,,,,28 Jul 1979
New Zealand,France,19,24,,,,,14 Jul 1979
New Zealand,France,23,9,,,,,7 Jul 1979
Australia,Ireland,3,9,,,,,16 Jui 1979
Australia,Ireland,12,27,,,,,3 Jui 1979
France,Scotland,21,17,,,,,17 Mar 1979
Wales,England,27,3,,,,,17 Mar 1979
Scotland,Ireland,11,11,,,,,3 Mar 1979
France,Wales,14,13,,,,,17 Fev 1979
Ireland,England,12,7,,,,,17 Fev 1979
Wales,Ireland,24,21,,,,,3 Fev 1979
England,Scotland,7,7,,,,,3 Fev 1979
England,France,7,6,,,,,1 Fev 1979
Scotland,Wales,13,19,,,,,20 Jan 1979
Ireland,France,9,9,,,,,20 Jan 1979
Scotland,New Zealand,9,18,,,,,9  1978
England,New Zealand,6,16,,,,,25 Nov 1978
Wales,New Zealand,12,13,,,,,11 Nov 1978
Ireland,New Zealand,6,10,,,,,4 Nov 1978
Italy,Argentina,19,6,,,,,24 Oct 1978
New Zealand,Australia,16,30,,,,,9 Sep 1978
New Zealand,Australia,22,6,,,,,26 Aou 1978
New Zealand,Australia,13,12,,,,,19 Aou 1978
Australia,Wales,19,17,,,,,17 Jui 1978
Australia,Wales,18,8,,,,,11 Jui 1978
England,Ireland,15,9,,,,,18 Mar 1978
Wales,France,16,7,,,,,18 Mar 1978
Ireland,Wales,16,20,,,,,4 Mar 1978
Scotland,England,0,15,,,,,4 Mar 1978
Wales,Scotland,22,14,,,,,18 Fev 1978
France,Ireland,10,9,,,,,18 Fev 1978
Scotland,France,16,19,,,,,4 Fev 1978
England,Wales,6,9,,,,,4 Fev 1978
Ireland,Scotland,12,9,,,,,21 Jan 1978
France,England,15,6,,,,,21 Jan 1978
France,New Zealand,3,15,,,,,19 Nov 1977
France,New Zealand,18,13,,,,,11 Nov 1977
Argentina,France,18,18,,,,,2 Jul 1977
Argentina,France,3,26,,,,,25 Jui 1977
Scotland,Wales,9,18,,,,,19 Mar 1977
Ireland,France,6,15,,,,,19 Mar 1977
Wales,England,14,9,,,,,5 Mar 1977
France,Scotland,23,3,,,,,5 Mar 1977
Scotland,Ireland,21,18,,,,,19 Fev 1977
France,Wales,16,9,,,,,5 Fev 1977
Ireland,England,0,4,,,,,5 Fev 1977
England,France,3,4,,,,,1 Fev 1977
Wales,Ireland,25,9,,,,,15 Jan 1977
England,Scotland,26,6,,,,,15 Jan 1977
France,Australia,34,6,,,,,30 Oct 1976
France,Australia,18,15,,,,,24 Oct 1976
South Africa,New Zealand,15,14,,,,,18 Sep 1976
South Africa,New Zealand,15,10,,,,,4 Sep 1976
South Africa,New Zealand,9,15,,,,,14 Aou 1976
South Africa,New Zealand,16,7,,,,,24 Jul 1976
New Zealand,Ireland,11,3,,,,,5 Jui 1976
Ireland,Scotland,6,15,,,,,20 Mar 1976
France,England,30,9,,,,,20 Mar 1976
England,Ireland,12,13,,,,,6 Mar 1976
Wales,France,19,13,,,,,6 Mar 1976
Ireland,Wales,9,34,,,,,21 Fev 1976
Scotland,England,22,12,,,,,21 Fev 1976
Wales,Scotland,28,6,,,,,7 Fev 1976
France,Ireland,26,3,,,,,7 Fev 1976
England,Wales,9,21,,,,,17 Jan 1976
Ireland,Australia,10,20,,,,,17 Jan 1976
Scotland,France,6,13,,,,,10 Jan 1976
England,Australia,23,6,,,,,3 Jan 1976
Wales,Australia,28,3,,,,,20  1975
Scotland,Australia,10,3,,,,,6  1975
France,Argentina,36,21,,,,,25 Oct 1975
France,Argentina,29,6,,,,,19 Oct 1975
South Africa,France,33,18,,,,,28 Jui 1975
South Africa,France,38,25,,,,,21 Jui 1975
New Zealand,Scotland,24,0,,,,,14 Jui 1975
Australia,England,30,21,,,,,31 Mai 1975
Australia,England,16,9,,,,,24 Mai 1975
England,Scotland,7,6,,,,,15 Mar 1975
Wales,Ireland,32,4,,,,,15 Mar 1975
Scotland,Wales,12,10,,,,,1 Mar 1975
Ireland,France,25,6,,,,,1 Mar 1975
France,Scotland,10,9,,,,,15 Fev 1975
Wales,England,20,4,,,,,15 Fev 1975
England,France,20,27,,,,,1 Fev 1975
Scotland,Ireland,20,13,,,,,1 Fev 1975
France,Wales,10,25,,,,,18 Jan 1975
Ireland,England,12,9,,,,,18 Jan 1975
France,South Africa,8,10,,,,,30 Nov 1974
Ireland,New Zealand,6,15,,,,,23 Nov 1974
France,South Africa,4,13,,,,,23 Nov 1974
Argentina,France,27,31,,,,,29 Jui 1974
Argentina,France,15,20,,,,,20 Jui 1974
Australia,New Zealand,6,16,,,,,8 Jui 1974
Australia,New Zealand,16,16,,,,,1 Jui 1974
Australia,New Zealand,6,11,,,,,25 Mai 1974
England,Wales,16,12,,,,,16 Mar 1974
Scotland,France,19,6,,,,,16 Mar 1974
France,England,12,12,,,,,2 Mar 1974
Ireland,Scotland,9,6,,,,,2 Mar 1974
Wales,France,16,16,,,,,16 Fev 1974
England,Ireland,21,26,,,,,6 Fev 1974
Scotland,England,16,14,,,,,2 Fev 1974
Ireland,Wales,9,9,,,,,2 Fev 1974
France,Ireland,9,6,,,,,19 Jan 1974
Wales,Scotland,6,0,,,,,19 Jan 1974
England,Australia,20,3,,,,,17 Nov 1973
Wales,Australia,24,0,,,,,10 Nov 1973
New Zealand,England,10,16,,,,,15 Sep 1973
Ireland,France,6,4,,,,,14 Avr 1973
France,Wales,12,3,,,,,24 Mar 1973
England,Scotland,20,13,,,,,17 Mar 1973
Wales,Ireland,16,12,,,,,10 Mar 1973
Scotland,Ireland,19,14,,,,,24 Fev 1973
England,France,14,6,,,,,24 Fev 1973
Ireland,England,18,9,,,,,10 Fev 1973
France,New Zealand,13,6,,,,,10 Fev 1973
Scotland,Wales,10,9,,,,,3 Fev 1973
Ireland,New Zealand,10,10,,,,,20 Jan 1973
Wales,England,25,9,,,,,20 Jan 1973
France,Scotland,16,13,,,,,13 Jan 1973
England,New Zealand,0,9,,,,,6 Jan 1973
Scotland,New Zealand,9,14,,,,,16  1972
Wales,New Zealand,16,19,,,,,2  1972
New Zealand,Australia,38,3,,,,,16 Sep 1972
New Zealand,Australia,30,17,,,,,2 Sep 1972
New Zealand,Australia,29,6,,,,,19 Aou 1972
Australia,France,15,16,,,,,25 Jui 1972
Australia,France,14,14,,,,,17 Jui 1972
South Africa,England,9,18,,,,,3 Jui 1972
Ireland,France,24,14,,,,,29 Avr 1972
Wales,France,20,6,,,,,25 Mar 1972
Scotland,England,23,9,,,,,18 Mar 1972
France,England,37,12,,,,,26 Fev 1972
England,Ireland,12,16,,,,,12 Fev 1972
Wales,Scotland,35,12,,,,,5 Fev 1972
France,Ireland,9,14,,,,,29 Jan 1972
England,Wales,3,12,,,,,15 Jan 1972
Scotland,France,20,9,,,,,15 Jan 1972
France,Australia,18,9,,,,,27 Nov 1971
France,Australia,11,13,,,,,20 Nov 1971
Australia,South Africa,6,18,,,,,7 Aou 1971
Australia,South Africa,6,14,,,,,31 Jul 1971
Australia,South Africa,11,19,,,,,17 Jul 1971
South Africa,France,8,8,,,,,19 Jui 1971
South Africa,France,22,9,,,,,12 Jui 1971
France,Wales,5,9,,,,,27 Mar 1971
Scotland,England,26,6,,,,,27 Mar 1971
England,Scotland,15,16,,,,,20 Mar 1971
Wales,Ireland,23,9,,,,,13 Mar 1971
Scotland,Ireland,5,17,,,,,27 Fev 1971
England,France,14,14,,,,,27 Fev 1971
Ireland,England,6,9,,,,,13 Fev 1971
Scotland,Wales,18,19,,,,,6 Fev 1971
Ireland,France,9,9,,,,,30 Jan 1971
France,Scotland,13,8,,,,,16 Jan 1971
Wales,England,22,6,,,,,16 Jan 1971
South Africa,New Zealand,20,17,,,,,12 Sep 1970
South Africa,New Zealand,14,3,,,,,29 Aou 1970
South Africa,New Zealand,8,9,,,,,8 Aou 1970
South Africa,New Zealand,17,6,,,,,25 Jul 1970
Australia,Scotland,23,3,,,,,6 Jui 1970
France,England,35,13,,,,,18 Avr 1970
Wales,France,11,6,,,,,4 Avr 1970
Ireland,Wales,14,0,,,,,14 Mar 1970
England,Wales,13,17,,,,,28 Fev 1970
Ireland,Scotland,16,11,,,,,28 Fev 1970
Scotland,England,14,5,,,,,21 Fev 1970
England,Ireland,9,3,,,,,14 Fev 1970
Wales,Scotland,18,9,,,,,7 Fev 1970
Wales,South Africa,6,6,,,,,24 Jan 1970
France,Ireland,8,0,,,,,24 Jan 1970
Scotland,France,9,11,,,,,10 Jan 1970
Ireland,South Africa,8,8,,,,,10 Jan 1970
England,South Africa,11,8,,,,,20  1969
Scotland,South Africa,6,3,,,,,6  1969
South Africa,Australia,19,8,,,,,20 Sep 1969
South Africa,Australia,11,3,,,,,6 Sep 1969
South Africa,Australia,16,9,,,,,16 Aou 1969
South Africa,Australia,30,11,,,,,2 Aou 1969
Australia,Wales,16,19,,,,,21 Jui 1969
New Zealand,Wales,33,12,,,,,14 Jui 1969
New Zealand,Wales,19,0,,,,,31 Mai 1969
Wales,England,30,9,,,,,12 Avr 1969
France,Wales,8,8,,,,,22 Mar 1969
England,Scotland,8,3,,,,,15 Mar 1969
Wales,Ireland,24,11,,,,,8 Mar 1969
Scotland,Ireland,0,16,,,,,22 Fev 1969
England,France,22,8,,,,,22 Fev 1969
Ireland,England,17,15,,,,,8 Fev 1969
Scotland,Wales,3,17,,,,,1 Fev 1969
Ireland,France,17,9,,,,,25 Jan 1969
France,Scotland,3,6,,,,,11 Jan 1969
France,South Africa,11,16,,,,,16 Nov 1968
France,South Africa,9,12,,,,,9 Nov 1968
Scotland,Australia,9,3,,,,,6 Nov 1968
Ireland,Australia,10,3,,,,,26 Oct 1968
Australia,France,11,10,,,,,17 Aou 1968
New Zealand,France,19,12,,,,,10 Aou 1968
New Zealand,France,9,3,,,,,27 Jul 1968
New Zealand,France,12,9,,,,,13 Jul 1968
Australia,New Zealand,18,19,,,,,22 Jui 1968
Australia,New Zealand,11,27,,,,,15 Jui 1968
Wales,France,9,14,,,,,23 Mar 1968
Scotland,England,6,8,,,,,16 Mar 1968
Ireland,Wales,9,6,,,,,9 Mar 1968
France,England,14,9,,,,,24 Fev 1968
Ireland,Scotland,14,6,,,,,24 Fev 1968
England,Ireland,9,9,,,,,10 Fev 1968
Wales,Scotland,5,0,,,,,3 Fev 1968
France,Ireland,16,6,,,,,27 Jan 1968
England,Wales,11,11,,,,,20 Jan 1968
Scotland,France,6,8,,,,,13 Jan 1968
Scotland,New Zealand,3,14,,,,,2  1967
France,New Zealand,15,21,,,,,25 Nov 1967
Wales,New Zealand,6,13,,,,,11 Nov 1967
England,New Zealand,11,23,,,,,4 Nov 1967
New Zealand,Australia,29,9,,,,,19 Aou 1967
South Africa,France,6,6,,,,,12 Aou 1967
South Africa,France,14,19,,,,,29 Jul 1967
South Africa,France,16,3,,,,,22 Jul 1967
South Africa,France,26,3,,,,,15 Jul 1967
Australia,Ireland,5,11,,,,,13 Mai 1967
Wales,England,34,21,,,,,15 Avr 1967
Ireland,France,6,11,,,,,15 Avr 1967
France,Wales,20,14,,,,,1 Avr 1967
France,Italy,60,13,,,,,26 Mar 1967
England,Scotland,27,14,,,,,18 Mar 1967
Wales,Ireland,0,3,,,,,11 Mar 1967
England,France,12,16,,,,,25 Fev 1967
Scotland,Ireland,3,5,,,,,25 Fev 1967
France,Australia,20,14,,,,,11 Fev 1967
Ireland,England,3,8,,,,,11 Fev 1967
Scotland,Wales,11,5,,,,,4 Fev 1967
Ireland,Australia,15,8,,,,,21 Jan 1967
France,Scotland,8,9,,,,,14 Jan 1967
England,Australia,11,23,,,,,7 Jan 1967
Scotland,Australia,11,5,,,,,17  1966
Wales,Australia,11,14,,,,,3  1966
Italy,France,0,21,,,,,9 Avr 1966
Wales,France,9,8,,,,,26 Mar 1966
Scotland,England,6,3,,,,,19 Mar 1966
Ireland,Wales,9,6,,,,,12 Mar 1966
Ireland,Scotland,3,11,,,,,26 Fev 1966
France,England,13,0,,,,,26 Fev 1966
England,Ireland,6,6,,,,,12 Fev 1966
Wales,Scotland,8,3,,,,,5 Fev 1966
France,Ireland,11,6,,,,,29 Jan 1966
England,Wales,6,11,,,,,15 Jan 1966
Scotland,France,3,3,,,,,15 Jan 1966
New Zealand,South Africa,20,3,,,,,18 Sep 1965
New Zealand,South Africa,16,19,,,,,4 Sep 1965
New Zealand,South Africa,13,0,,,,,21 Aou 1965
New Zealand,South Africa,6,3,,,,,31 Jul 1965
Australia,South Africa,12,8,,,,,26 Jui 1965
Australia,South Africa,18,11,,,,,19 Jui 1965
France,Italy,21,0,,,,,18 Avr 1965
Scotland,South Africa,8,5,,,,,17 Avr 1965
Ireland,South Africa,9,6,,,,,10 Avr 1965
France,Wales,22,13,,,,,27 Mar 1965
England,Scotland,3,3,,,,,20 Mar 1965
Wales,Ireland,14,8,,,,,13 Mar 1965
Scotland,Ireland,6,16,,,,,27 Fev 1965
England,France,9,6,,,,,27 Fev 1965
Ireland,England,5,0,,,,,13 Fev 1965
Scotland,Wales,12,14,,,,,6 Fev 1965
Ireland,France,3,3,,,,,23 Jan 1965
Wales,England,14,3,,,,,16 Jan 1965
France,Scotland,16,8,,,,,9 Jan 1965
New Zealand,Australia,5,20,,,,,29 Aou 1964
New Zealand,Australia,18,3,,,,,22 Aou 1964
New Zealand,Australia,14,9,,,,,15 Aou 1964
South Africa,France,6,8,,,,,25 Jul 1964
South Africa,Wales,24,3,,,,,23 Mai 1964
France,Ireland,27,6,,,,,11 Avr 1964
Italy,France,3,12,,,,,29 Mar 1964
Wales,France,11,11,,,,,21 Mar 1964
Scotland,England,15,6,,,,,21 Mar 1964
Ireland,Wales,6,15,,,,,7 Mar 1964
Ireland,Scotland,3,6,,,,,22 Fev 1964
France,England,3,6,,,,,22 Fev 1964
England,Ireland,5,18,,,,,8 Fev 1964
France,New Zealand,3,12,,,,,8 Fev 1964
Wales,Scotland,11,3,,,,,1 Fev 1964
England,Wales,6,6,,,,,18 Jan 1964
Scotland,New Zealand,0,0,,,,,18 Jan 1964
England,New Zealand,0,14,,,,,4 Jan 1964
Scotland,France,10,0,,,,,4 Jan 1964
Wales,New Zealand,0,6,,,,,21  1963
Ireland,New Zealand,5,6,,,,,7  1963
South Africa,Australia,22,6,,,,,7 Sep 1963
South Africa,Australia,9,11,,,,,24 Aou 1963
South Africa,Australia,5,9,,,,,10 Aou 1963
South Africa,Australia,14,3,,,,,13 Jul 1963
Australia,England,18,9,,,,,4 Jui 1963
New Zealand,England,9,6,,,,,1 Jui 1963
New Zealand,England,21,11,,,,,25 Mai 1963
France,Italy,14,12,,,,,14 Avr 1963
France,Wales,5,3,,,,,23 Mar 1963
England,Scotland,10,8,,,,,16 Mar 1963
Wales,Ireland,6,14,,,,,9 Mar 1963
England,France,6,5,,,,,23 Fev 1963
Ireland,England,0,0,,,,,11 Fev 1963
Scotland,Wales,0,6,,,,,2 Fev 1963
Scotland,Ireland,3,0,,,,,2 Fev 1963
Ireland,France,5,24,,,,,26 Jan 1963
Wales,England,6,13,,,,,19 Jan 1963
France,Scotland,6,11,,,,,12 Jan 1963
Ireland,Wales,3,3,,,,,17 Nov 1962
New Zealand,Australia,16,8,,,,,22 Sep 1962
New Zealand,Australia,3,0,,,,,8 Sep 1962
New Zealand,Australia,9,9,,,,,25 Aou 1962
Australia,New Zealand,5,14,,,,,4 Jui 1962
Australia,New Zealand,6,20,,,,,26 Mai 1962
Italy,France,3,6,,,,,22 Avr 1962
France,Ireland,11,0,,,,,14 Avr 1962
Wales,France,3,0,,,,,24 Mar 1962
Scotland,England,3,3,,,,,17 Mar 1962
Ireland,Scotland,6,20,,,,,24 Fev 1962
France,England,13,0,,,,,24 Fev 1962
England,Ireland,16,0,,,,,10 Fev 1962
Wales,Scotland,3,8,,,,,3 Fev 1962
England,Wales,0,0,,,,,20 Jan 1962
Scotland,France,3,11,,,,,13 Jan 1962
Australia,France,8,15,,,,,26 Aou 1961
New Zealand,France,32,3,,,,,19 Aou 1961
South Africa,Australia,23,11,,,,,12 Aou 1961
New Zealand,France,5,3,,,,,5 Aou 1961
South Africa,Australia,28,3,,,,,5 Aou 1961
New Zealand,France,13,6,,,,,22 Jul 1961
South Africa,Ireland,24,8,,,,,13 Mai 1961
Ireland,France,3,15,,,,,15 Avr 1961
France,Italy,17,0,,,,,2 Avr 1961
France,Wales,8,6,,,,,25 Mar 1961
England,Scotland,6,0,,,,,18 Mar 1961
Wales,Ireland,9,0,,,,,11 Mar 1961
Scotland,Ireland,16,8,,,,,25 Fev 1961
England,France,5,5,,,,,25 Fev 1961
France,South Africa,0,0,,,,,18 Fev 1961
Ireland,England,11,8,,,,,11 Fev 1961
Scotland,Wales,3,0,,,,,11 Fev 1961
Scotland,South Africa,5,12,,,,,21 Jan 1961
Wales,England,6,3,,,,,21 Jan 1961
England,South Africa,0,5,,,,,7 Jan 1961
France,Scotland,11,0,,,,,7 Jan 1961
Ireland,South Africa,3,8,,,,,17  1960
Wales,South Africa,0,3,,,,,3  1960
South Africa,New Zealand,8,3,,,,,27 Aou 1960
Argentina,France,6,29,,,,,17 Aou 1960
South Africa,New Zealand,11,11,,,,,13 Aou 1960
Argentina,France,3,12,,,,,6 Aou 1960
Argentina,France,3,37,,,,,23 Jul 1960
South Africa,New Zealand,3,11,,,,,23 Jul 1960
South Africa,New Zealand,13,0,,,,,25 Jui 1960
South Africa,Scotland,18,10,,,,,30 Avr 1960
Italy,France,0,26,,,,,17 Avr 1960
France,Ireland,23,6,,,,,9 Avr 1960
Wales,France,8,16,,,,,26 Mar 1960
Scotland,England,12,21,,,,,19 Mar 1960
Ireland,Wales,9,10,,,,,12 Mar 1960
Ireland,Scotland,5,6,,,,,27 Fev 1960
France,England,3,3,,,,,27 Fev 1960
England,Ireland,8,5,,,,,13 Fev 1960
Wales,Scotland,8,0,,,,,6 Fev 1960
England,Wales,14,6,,,,,16 Jan 1960
Scotland,France,11,13,,,,,9 Jan 1960
Ireland,France,9,5,,,,,18 Avr 1959
France,Wales,11,3,,,,,4 Avr 1959
France,Italy,22,0,,,,,29 Mar 1959
England,Scotland,3,3,,,,,21 Mar 1959
Wales,Ireland,8,6,,,,,14 Mar 1959
Scotland,Ireland,3,8,,,,,28 Fev 1959
England,France,3,3,,,,,28 Fev 1959
Ireland,England,0,3,,,,,14 Fev 1959
Scotland,Wales,6,5,,,,,7 Fev 1959
Wales,England,5,0,,,,,17 Jan 1959
France,Scotland,9,0,,,,,10 Jan 1959
New Zealand,Australia,17,8,,,,,20 Sep 1958
New Zealand,Australia,3,6,,,,,6 Sep 1958
New Zealand,Australia,25,3,,,,,23 Aou 1958
South Africa,France,5,9,,,,,16 Aou 1958
South Africa,France,3,3,,,,,26 Jul 1958
France,Ireland,11,6,,,,,19 Avr 1958
Italy,France,3,11,,,,,7 Avr 1958
Wales,France,6,16,,,,,29 Mar 1958
Ireland,Wales,6,9,,,,,15 Mar 1958
Scotland,England,3,3,,,,,15 Mar 1958
France,Australia,19,0,,,,,9 Mar 1958
France,England,0,14,,,,,1 Mar 1958
Ireland,Scotland,12,6,,,,,1 Mar 1958
Scotland,Australia,12,8,,,,,15 Fev 1958
England,Ireland,6,0,,,,,8 Fev 1958
England,Australia,9,6,,,,,1 Fev 1958
Wales,Scotland,8,3,,,,,1 Fev 1958
Ireland,Australia,9,6,,,,,18 Jan 1958
England,Wales,3,3,,,,,18 Jan 1958
Scotland,France,11,9,,,,,11 Jan 1958
Wales,Australia,9,3,,,,,4 Jan 1958
Australia,New Zealand,9,22,,,,,1 Jui 1957
Australia,New Zealand,11,25,,,,,25 Mai 1957
France,Italy,38,6,,,,,21 Avr 1957
France,Wales,13,19,,,,,23 Mar 1957
England,Scotland,16,3,,,,,16 Mar 1957
Wales,Ireland,6,5,,,,,9 Mar 1957
Scotland,Ireland,3,5,,,,,23 Fev 1957
England,France,9,5,,,,,23 Fev 1957
Ireland,England,0,6,,,,,9 Fev 1957
Scotland,Wales,9,6,,,,,2 Fev 1957
Ireland,France,11,6,,,,,26 Jan 1957
Wales,England,0,3,,,,,19 Jan 1957
France,Scotland,0,6,,,,,12 Jan 1957
New Zealand,South Africa,11,5,,,,,1 Sep 1956
New Zealand,South Africa,17,10,,,,,18 Aou 1956
New Zealand,South Africa,3,8,,,,,4 Aou 1956
New Zealand,South Africa,10,6,,,,,14 Jul 1956
Australia,South Africa,0,9,,,,,2 Jui 1956
Australia,South Africa,0,9,,,,,26 Mai 1956
France,England,14,9,,,,,14 Avr 1956
Italy,France,3,16,,,,,2 Avr 1956
Wales,France,5,3,,,,,24 Mar 1956
Scotland,England,6,11,,,,,17 Mar 1956
Ireland,Wales,11,3,,,,,10 Mar 1956
Ireland,Scotland,14,10,,,,,25 Fev 1956
England,Ireland,20,0,,,,,10 Fev 1956
Wales,Scotland,9,3,,,,,4 Fev 1956
France,Ireland,14,8,,,,,28 Jan 1956
England,Wales,3,8,,,,,21 Jan 1956
Scotland,France,12,0,,,,,14 Jan 1956
New Zealand,Australia,3,8,,,,,17 Sep 1955
New Zealand,Australia,8,0,,,,,3 Sep 1955
New Zealand,Australia,16,8,,,,,20 Aou 1955
France,Italy,24,0,,,,,10 Avr 1955
France,Wales,11,16,,,,,26 Mar 1955
England,Scotland,9,6,,,,,19 Mar 1955
Wales,Ireland,21,3,,,,,12 Mar 1955
England,France,9,16,,,,,26 Fev 1955
Scotland,Ireland,12,3,,,,,26 Fev 1955
Ireland,England,6,6,,,,,11 Fev 1955
Scotland,Wales,14,8,,,,,5 Fev 1955
Ireland,France,3,5,,,,,22 Jan 1955
Wales,England,3,0,,,,,22 Jan 1955
France,Scotland,15,0,,,,,8 Jan 1955
Argentina,France,3,30,,,,,12 Sep 1954
Argentina,France,8,22,,,,,29 Aou 1954
Italy,France,12,39,,,,,24 Avr 1954
Wales,Scotland,15,3,,,,,10 Avr 1954
France,England,11,3,,,,,10 Avr 1954
Wales,France,19,13,,,,,27 Mar 1954
Scotland,England,3,13,,,,,20 Mar 1954
Ireland,Wales,9,12,,,,,13 Mar 1954
Ireland,Scotland,6,0,,,,,27 Fev 1954
France,New Zealand,3,0,,,,,27 Fev 1954
Scotland,New Zealand,0,3,,,,,13 Fev 1954
England,Ireland,14,3,,,,,13 Fev 1954
England,New Zealand,0,5,,,,,30 Jan 1954
France,Ireland,8,0,,,,,23 Jan 1954
England,Wales,9,6,,,,,16 Jan 1954
Ireland,New Zealand,3,14,,,,,9 Jan 1954
Scotland,France,0,3,,,,,9 Jan 1954
Wales,New Zealand,13,8,,,,,19  1953
South Africa,Australia,22,9,,,,,26 Sep 1953
South Africa,Australia,18,8,,,,,19 Sep 1953
South Africa,Australia,14,18,,,,,5 Sep 1953
South Africa,Australia,25,3,,,,,22 Aou 1953
France,Italy,22,8,,,,,26 Avr 1953
France,Wales,3,6,,,,,28 Mar 1953
England,Scotland,26,8,,,,,21 Mar 1953
Wales,Ireland,5,3,,,,,14 Mar 1953
Scotland,Ireland,8,26,,,,,28 Fev 1953
England,France,11,0,,,,,28 Fev 1953
Ireland,England,9,9,,,,,11 Fev 1953
Scotland,Wales,0,12,,,,,7 Fev 1953
Ireland,France,16,3,,,,,24 Jan 1953
Wales,England,3,8,,,,,17 Jan 1953
France,Scotland,11,5,,,,,10 Jan 1953
New Zealand,Australia,15,8,,,,,13 Sep 1952
New Zealand,Australia,9,14,,,,,6 Sep 1952
Italy,France,8,17,,,,,17 Mai 1952
France,England,3,6,,,,,5 Avr 1952
England,Ireland,3,0,,,,,29 Mar 1952
Wales,France,9,5,,,,,22 Mar 1952
Scotland,England,3,19,,,,,15 Mar 1952
Ireland,Wales,3,14,,,,,8 Mar 1952
France,South Africa,3,25,,,,,16 Fev 1952
England,Wales,6,8,,,,,2 Fev 1952
Ireland,Scotland,12,8,,,,,2 Fev 1952
Wales,Scotland,11,0,,,,,2 Fev 1952
France,Ireland,8,11,,,,,26 Jan 1952
Scotland,France,11,13,,,,,12 Jan 1952
England,South Africa,3,8,,,,,5 Jan 1952
Wales,South Africa,3,6,,,,,22  1951
Ireland,South Africa,5,17,,,,,8  1951
Scotland,South Africa,0,44,,,,,24 Nov 1951
Australia,New Zealand,6,16,,,,,21 Jul 1951
Australia,New Zealand,11,17,,,,,7 Jul 1951
Australia,New Zealand,0,8,,,,,23 Jui 1951
France,Wales,8,3,,,,,7 Avr 1951
England,Scotland,5,3,,,,,17 Mar 1951
Wales,Ireland,3,3,,,,,10 Mar 1951
England,France,3,11,,,,,24 Fev 1951
Scotland,Ireland,5,6,,,,,24 Fev 1951
Ireland,England,3,0,,,,,10 Fev 1951
Scotland,Wales,19,0,,,,,3 Fev 1951
Ireland,France,9,8,,,,,27 Jan 1951
Wales,England,23,5,,,,,20 Jan 1951
France,Scotland,14,12,,,,,13 Jan 1951
Wales,France,21,0,,,,,25 Mar 1950
Scotland,England,13,11,,,,,18 Mar 1950
Ireland,Wales,3,6,,,,,11 Mar 1950
France,England,6,3,,,,,25 Fev 1950
Ireland,Scotland,21,0,,,,,25 Fev 1950
England,Ireland,3,0,,,,,11 Fev 1950
Wales,Scotland,12,0,,,,,4 Fev 1950
France,Ireland,3,3,,,,,28 Jan 1950
England,Wales,5,11,,,,,21 Jan 1950
Scotland,France,8,5,,,,,14 Jan 1950
New Zealand,Australia,9,16,,,,,24 Sep 1949
South Africa,New Zealand,11,8,,,,,17 Sep 1949
Argentina,France,3,12,,,,,4 Sep 1949
New Zealand,Australia,6,11,,,,,3 Sep 1949
